player_id,season_label,goals,assists,shots_on_target,minutes_played,market_value,market_value_next_season,age_in_days
981,2019-2020,1,4,8,1175,4800000,2500000.0,8945
981,2020-2021,0,0,0,441,2500000,2500000.0,9310
981,2021-2022,0,1,2,678,2500000,2500000.0,9676
981,2021-2022,0,0,0,75,2500000,,9676
984,2017-2018,15,4,26,2770,25000000,30000000.0,9171
984,2018-2019,11,5,20,2367,30000000,24000000.0,9536
984,2019-2020,11,1,19,2011,24000000,18000000.0,9901
984,2020-2021,3,1,8,689,18000000,12000000.0,10266
984,2021-2022,9,4,8,1604,12000000,,10632
1028,2017-2018,11,5,25,2997,10000000,10000000.0,8991
1028,2018-2019,9,2,19,2821,10000000,16000000.0,9356
1028,2019-2020,7,7,15,2393,16000000,20000000.0,9721
1028,2020-2021,8,3,12,2184,20000000,9000000.0,10086
1028,2021-2022,1,2,9,1590,9000000,,10452
1053,2019-2020,1,1,7,785,17500000,20000000.0,9174
1053,2020-2021,3,4,17,2210,20000000,10000000.0,9539
1053,2021-2022,0,1,2,384,10000000,,9905
1056,2021-2022,0,2,3,382,20000000,,9108
1065,2017-2018,1,2,3,618,25000000,25000000.0,9922
1065,2017-2018,1,0,4,689,25000000,18000000.0,9922
1065,2018-2019,0,1,1,753,18000000,14500000.0,10287
1065,2019-2020,3,2,11,1227,14500000,4000000.0,10652
1065,2020-2021,0,0,0,298,4000000,1500000.0,11017
1065,2021-2022,0,0,0,221,1500000,,11383
1075,2017-2018,7,3,20,1636,6000000,1000000.0,8666
1075,2021-2022,0,0,1,176,1000000,,10127
1087,2017-2018,0,1,1,365,1000000,2000000.0,9670
1087,2018-2019,1,1,12,1302,2000000,2000000.0,10035
1087,2018-2019,0,0,2,62,2000000,800000.0,10035
1087,2021-2022,1,2,7,867,800000,,11131
1102,2017-2018,6,5,18,2074,15000000,,8019
1106,2021-2022,0,1,2,1118,5000000,,9851
1130,2017-2018,10,6,23,2444,12000000,10000000.0,7793
1130,2018-2019,1,1,1,152,10000000,10000000.0,8158
1130,2018-2019,5,1,11,1042,10000000,9000000.0,8158
1130,2019-2020,5,2,14,1250,9000000,10000000.0,8523
1130,2020-2021,4,2,13,845,10000000,8000000.0,8888
1130,2021-2022,2,0,7,474,8000000,,9254
1135,2019-2020,1,0,6,448,900000,,9034
1139,2018-2019,0,0,2,76,1000000,800000.0,9051
1139,2019-2020,1,0,1,537,800000,500000.0,9416
1139,2021-2022,0,0,0,93,500000,,10147
1140,2018-2019,17,3,35,3075,28000000,14500000.0,9115
1140,2019-2020,3,2,12,1922,14500000,10000000.0,9480
1140,2020-2021,11,0,10,1411,10000000,15000000.0,9845
1140,2021-2022,10,0,17,1573,15000000,,10211
1161,2017-2018,10,8,22,3058,5000000,10000000.0,10755
1161,2018-2019,12,5,27,3195,10000000,6500000.0,11120
1161,2019-2020,4,2,14,2519,6500000,6000000.0,11485
1161,2020-2021,13,3,26,2439,6000000,4000000.0,11850
1161,2021-2022,13,7,32,2719,4000000,,12216
1179,2017-2018,16,1,46,3412,20000000,17500000.0,9035
1179,2018-2019,8,1,32,2315,17500000,16000000.0,9400
1179,2019-2020,18,5,32,2744,16000000,40000000.0,9765
1179,2020-2021,23,7,35,2673,40000000,40000000.0,10130
1179,2021-2022,9,3,13,1191,40000000,,10496
1197,2017-2018,8,6,22,2797,7500000,12000000.0,10340
1197,2019-2020,11,5,14,2496,12000000,3000000.0,11070
1197,2020-2021,4,4,10,1759,3000000,2500000.0,11435
1197,2021-2022,2,1,5,1266,2500000,2500000.0,11801
1197,2021-2022,3,2,5,1060,2500000,,11801
1202,2019-2020,0,1,1,490,800000,800000.0,10457
1202,2020-2021,0,0,1,167,800000,,10822
1204,2017-2018,0,1,10,717,10000000,4000000.0,7847
1204,2018-2019,0,0,10,1055,4000000,3200000.0,8212
1204,2019-2020,3,1,17,1306,3200000,3500000.0,8577
1204,2020-2021,5,1,19,1285,3500000,3500000.0,8942
1204,2021-2022,3,0,14,1462,3500000,,9308
1208,2017-2018,16,4,38,2684,40000000,50000000.0,9433
1208,2018-2019,8,6,29,2528,50000000,40000000.0,9798
1208,2019-2020,4,7,14,1880,40000000,35000000.0,10163
1208,2020-2021,0,0,0,537,35000000,60000000.0,10528
1208,2021-2022,1,2,7,881,60000000,,10894
1219,2017-2018,25,12,55,2899,70000000,50000000.0,10935
1219,2018-2019,21,6,52,2827,50000000,28000000.0,11300
1219,2019-2020,16,8,42,1998,28000000,15000000.0,11665
1219,2020-2021,21,3,41,2508,15000000,8000000.0,12030
1219,2021-2022,11,2,23,1835,8000000,,12396
1220,2017-2018,0,1,2,492,2000000,,7665
1222,2017-2018,5,0,10,982,4000000,,11975
1226,2017-2018,4,7,17,1679,25000000,25000000.0,9316
1226,2018-2019,1,3,10,1510,25000000,16000000.0,9681
1226,2019-2020,2,1,3,848,16000000,15000000.0,10046
1226,2020-2021,2,5,8,1848,15000000,12000000.0,10411
1226,2021-2022,3,0,5,1833,12000000,,10777
1230,2017-2018,2,1,3,528,6000000,6000000.0,8428
1230,2017-2018,0,0,1,269,6000000,,8428
1232,2017-2018,7,6,28,2851,30000000,50000000.0,8236
1232,2018-2019,12,4,32,3025,50000000,40000000.0,8601
1232,2019-2020,6,1,21,2939,40000000,25000000.0,8966
1232,2020-2021,6,6,17,2387,25000000,25000000.0,9331
1232,2021-2022,8,5,34,2777,25000000,,9697
1242,2017-2018,4,3,10,1442,1800000,1600000.0,9670
1242,2019-2020,1,0,4,790,1600000,,10400
1244,2017-2018,0,0,0,39,4000000,,9105
1247,2017-2018,6,6,22,1844,75000000,60000000.0,7651
1247,2018-2019,1,4,17,1779,60000000,32000000.0,8016
1247,2019-2020,3,1,5,336,32000000,35000000.0,8381
1247,2020-2021,5,2,11,1869,35000000,40000000.0,8746
1247,2021-2022,10,0,31,1731,40000000,,9112
1249,2017-2018,9,0,15,1263,22000000,,9397
1250,2017-2018,0,0,6,909,1500000,,7646
1254,2017-2018,2,0,8,985,2000000,2000000.0,8895
1254,2018-2019,5,1,10,1439,2000000,,9260
1255,2017-2018,1,0,3,181,2000000,2000000.0,7853
1255,2018-2019,1,0,5,597,2000000,1200000.0,8218
1255,2020-2021,0,1,3,370,1200000,1000000.0,8948
1255,2021-2022,0,0,0,45,1000000,,9314
1256,2017-2018,2,0,10,1672,2500000,,10487
1260,2017-2018,1,0,4,1034,1800000,1500000.0,8465
1260,2018-2019,1,0,2,555,1500000,1200000.0,8830
1260,2019-2020,0,0,0,22,1200000,800000.0,9195
1260,2020-2021,0,0,0,21,800000,,9560
1264,2017-2018,3,4,9,901,25000000,22500000.0,8520
1264,2019-2020,1,2,6,631,22500000,40000000.0,9250
1264,2020-2021,6,10,25,2179,40000000,40000000.0,9615
1264,2021-2022,6,6,10,2583,40000000,,9981
1271,2018-2019,0,0,6,687,1500000,,10196
1273,2017-2018,8,4,26,2253,24000000,35000000.0,7969
1273,2018-2019,3,2,11,1919,35000000,32000000.0,8334
1273,2019-2020,5,6,17,2061,32000000,40000000.0,8699
1273,2020-2021,9,8,23,2393,40000000,45000000.0,9064
1273,2021-2022,12,5,22,1856,45000000,,9430
