player_id,season_label,tackles_won,blocks,interceptions,aerials_won,pass_completed,minutes_played,market_value,market_value_next_season,age_in_days
1062,2017-2018,24,25,23,39,630,1555,6000000,6000000,8287
1062,2018-2019,17,23,19,25,396,1339,6000000,6000000,8652
1062,2018-2019,1,2,2,5,87,196,6000000,4800000,8652
1062,2019-2020,24,37,42,83,969,2610,4800000,10000000,9017
1062,2020-2021,19,22,46,0,1131,2316,10000000,4000000,9382
1062,2021-2022,29,41,36,52,1051,2420,4000000,,9748
1063,2017-2018,4,4,9,3,207,460,7500000,4000000,9995
1063,2018-2019,11,5,4,7,236,528,4000000,3500000,10360
1063,2019-2020,14,14,23,10,617,2165,3500000,2000000,10725
1063,2020-2021,5,10,12,0,423,595,2000000,2000000,11090
1063,2021-2022,25,19,25,10,877,1901,2000000,,11456
1064,2017-2018,16,5,14,6,238,895,800000,600000,8152
1064,2018-2019,8,6,6,13,164,647,600000,,8517
1070,2017-2018,52,28,61,46,921,2557,4000000,10000000,8957
1070,2018-2019,27,19,38,46,956,2139,10000000,12000000,9322
1070,2019-2020,43,31,37,70,1216,2545,12000000,5000000,9687
1070,2020-2021,12,6,6,0,307,639,5000000,4000000,10052
1070,2021-2022,22,14,13,17,473,1172,4000000,,10418
1074,2017-2018,6,26,26,39,607,1748,1500000,,10343
1083,2018-2019,33,32,29,68,867,2110,2500000,,9862
1088,2018-2019,31,34,42,75,1384,3120,20000000,16000000,10187
1088,2019-2020,35,26,30,54,1324,2850,16000000,12000000,10552
1088,2020-2021,19,14,11,24,909,1682,12000000,3000000,10917
1088,2021-2022,11,19,13,21,487,1015,3000000,,11283
1094,2017-2018,16,18,16,17,212,667,1500000,1500000,10245
1094,2017-2018,11,3,14,8,203,522,1500000,,10245
1096,2017-2018,21,17,47,37,540,1637,1800000,4000000,9100
1096,2018-2019,31,31,53,53,717,2023,4000000,3200000,9465
1096,2019-2020,40,30,65,79,904,2684,3200000,,9830
1098,2017-2018,1,1,2,1,28,90,35000000,,8255
1100,2017-2018,38,21,52,28,1062,2249,3000000,3000000,9094
1100,2018-2019,27,20,30,28,670,1642,3000000,6000000,9459
1100,2019-2020,36,26,28,42,1165,2872,6000000,6000000,9824
1100,2020-2021,18,21,25,21,900,2131,6000000,2500000,10189
1100,2021-2022,0,0,0,0,1,4,2500000,,10555
1111,2017-2018,14,7,12,21,235,983,1200000,,10040
1113,2017-2018,40,40,44,25,670,2138,2000000,5000000,7746
1113,2018-2019,35,46,57,51,814,2772,5000000,4800000,8111
1113,2019-2020,32,30,47,55,912,2663,4800000,4000000,8476
1113,2020-2021,30,44,66,45,938,2545,4000000,3000000,8841
1113,2021-2022,47,40,57,54,897,2621,3000000,,9207
1115,2017-2018,20,20,45,41,870,1596,5000000,10000000,8315
1115,2018-2019,29,23,39,64,965,2254,10000000,8000000,8680
1115,2019-2020,17,21,15,64,811,1510,8000000,15000000,9045
1115,2020-2021,16,12,15,62,1058,1884,15000000,20000000,9410
1115,2021-2022,14,19,29,54,989,2105,20000000,,9776
1128,2017-2018,37,32,56,63,1460,2680,8000000,9000000,9045
1128,2018-2019,38,30,40,82,1240,2765,9000000,4000000,9410
1128,2019-2020,7,6,7,17,434,717,4000000,3000000,9775
1128,2020-2021,3,5,6,20,508,719,3000000,3000000,10140
1128,2021-2022,24,33,40,39,1161,2720,3000000,,10506
1136,2017-2018,68,35,40,41,873,2116,35000000,70000000,7627
1136,2018-2019,25,17,14,21,448,1117,70000000,,7992
1156,2017-2018,1,2,8,1,77,173,600000,,8532
1162,2017-2018,77,24,55,19,1206,2622,1200000,500000,11564
1162,2018-2019,10,6,16,0,206,507,500000,200000,11929
1162,2020-2021,3,3,4,2,98,179,200000,,12659
1167,2017-2018,4,2,3,2,84,233,1000000,800000,7297
1167,2018-2019,8,1,7,4,77,290,800000,650000,7662
1167,2019-2020,15,13,13,9,245,852,650000,1200000,8027
1167,2020-2021,2,5,4,4,85,269,1200000,1200000,8392
1167,2020-2021,1,1,2,3,38,93,1200000,,8392
1178,2018-2019,40,35,41,28,1152,3136,12000000,5500000,8973
1178,2019-2020,20,21,23,19,993,2265,5500000,6000000,9338
1178,2020-2021,26,18,35,23,897,1786,6000000,18000000,9703
1178,2021-2022,40,28,34,24,1016,2404,18000000,,10069
1182,2021-2022,6,6,15,24,287,658,2000000,,10486
1183,2017-2018,8,13,16,24,360,921,1000000,2000000,10356
1183,2018-2019,10,19,26,39,489,1362,2000000,1600000,10721
1183,2019-2020,13,11,21,29,566,1332,1600000,,11086
1184,2017-2018,15,23,30,40,1054,1791,3000000,3000000,10462
1184,2018-2019,14,20,20,28,750,1310,3000000,1200000,10827
1184,2019-2020,5,10,18,9,216,711,1200000,300000,11192
1184,2020-2021,3,0,3,0,40,168,300000,,11557
1195,2017-2018,40,39,32,20,454,2440,5000000,22000000,7572
1195,2018-2019,44,33,29,27,701,2095,22000000,9500000,7937
1195,2019-2020,19,18,16,12,584,1349,9500000,20000000,8302
1195,2020-2021,19,21,34,32,942,2093,20000000,18000000,8667
1195,2021-2022,16,12,31,14,723,1701,18000000,,9033
1200,2017-2018,2,1,5,3,74,192,800000,800000,9435
1200,2018-2019,6,2,4,6,162,419,800000,,9800
1201,2019-2020,14,5,10,8,216,718,550000,400000,10691
1201,2020-2021,22,15,15,24,341,1191,400000,400000,11056
1201,2021-2022,34,28,36,26,663,2304,400000,,11422
1207,2021-2022,20,38,28,61,949,2552,2000000,,10365
1210,2017-2018,69,37,58,49,1359,3123,2500000,2500000,10269
1210,2018-2019,31,19,22,46,865,1749,2500000,1600000,10634
1210,2019-2020,23,17,30,26,623,1871,1600000,,10999
1227,2018-2019,32,29,47,41,386,1277,1500000,,8647
1228,2017-2018,9,10,18,18,603,1018,5000000,2500000,11371
1228,2018-2019,4,4,6,13,360,587,2500000,,11736
1258,2017-2018,11,17,12,15,493,1190,200000,200000,12999
1258,2018-2019,2,5,4,1,84,230,200000,,13364
1265,2017-2018,29,28,42,26,831,2025,2000000,,10653
1288,2017-2018,9,8,9,32,380,990,1000000,1000000,10074
1288,2018-2019,5,7,13,23,290,660,1000000,725000,10439
1288,2019-2020,3,7,6,10,196,485,725000,800000,10804
1288,2020-2021,13,23,36,71,1028,2060,800000,800000,11169
1288,2021-2022,8,18,24,67,807,1773,800000,,11535
1292,2017-2018,14,17,36,27,668,1257,3000000,5000000,9871
1292,2018-2019,23,19,31,71,1104,1702,5000000,4000000,10236
1292,2019-2020,13,15,23,45,921,1431,4000000,,10601
1299,2017-2018,18,11,31,39,224,1540,1000000,2000000,9719
1299,2018-2019,10,13,22,51,365,1701,2000000,1200000,10084
1299,2019-2020,8,7,2,7,180,456,1200000,1200000,10449
1299,2019-2020,2,2,0,3,56,180,1200000,1000000,10449
1299,2020-2021,17,22,37,54,602,2263,1000000,,10814
1300,2017-2018,19,25,19,34,408,1429,2000000,2000000,8009
1300,2021-2022,16,21,19,27,594,1793,2000000,,9470
1309,2017-2018,43,32,77,48,1154,3240,2500000,800000,10124
1309,2021-2022,5,5,16,14,622,1366,800000,,11585
1314,2017-2018,13,7,11,5,447,901,1500000,1500000,8447
1314,2018-2019,30,27,35,25,831,1754,1500000,1200000,8812
1314,2019-2020,5,4,2,3,112,258,1200000,,9177
1320,2017-2018,42,29,16,27,922,2111,7500000,2000000,8643
1320,2018-2019,2,4,4,4,90,211,2000000,1600000,9008
1320,2019-2020,12,7,3,8,193,623,1600000,1500000,9373
1320,2020-2021,7,8,4,4,327,644,1500000,3000000,9738
1320,2021-2022,23,37,23,18,874,1925,3000000,,10104
1321,2017-2018,10,16,25,14,729,1261,5500000,,7675
1329,2018-2019,1,2,0,11,69,447,20000000,13000000,11515
1329,2019-2020,0,0,0,2,10,45,13000000,3500000,11880
1329,2020-2021,2,3,0,20,75,513,3500000,5000000,12245
1329,2021-2022,0,2,1,9,42,342,5000000,,12611
1341,2017-2018,10,6,14,6,190,579,600000,,11482
1357,2021-2022,9,29,39,58,898,1988,5000000,,10781
1358,2018-2019,23,27,27,26,779,1868,10000000,6000000,9228
1358,2019-2020,4,0,2,0,38,75,6000000,2200000,9593
1358,2020-2021,1,0,0,1,22,67,2200000,1200000,9958
1358,2021-2022,8,3,1,2,95,322,1200000,,10324
1361,2019-2020,21,31,22,66,970,2775,2000000,2000000,9947
1361,2021-2022,7,17,18,27,532,1530,2000000,,10678
1363,2018-2019,4,4,7,10,151,320,2000000,,9235
1364,2017-2018,24,10,24,26,396,1109,1500000,,8067
1365,2017-2018,22,29,41,16,555,1909,1200000,200000,8869
1365,2018-2019,29,52,51,60,898,2854,200000,800000,9234
1365,2019-2020,1,0,3,5,81,191,800000,1500000,9599
1365,2020-2021,7,24,35,15,730,1425,1500000,2000000,9964
1365,2021-2022,20,25,30,28,832,2010,2000000,,10330
1373,2017-2018,20,38,45,46,809,2299,40000000,35000000,9490
1373,2018-2019,10,13,22,35,446,1398,35000000,25500000,9855
1373,2019-2020,17,16,24,62,871,1980,25500000,25000000,10220
1373,2020-2021,25,33,42,0,1487,2953,25000000,16000000,10585
1373,2021-2022,20,19,37,71,1139,2440,16000000,,10951
1377,2017-2018,17,13,22,7,413,721,800000,,10243
1393,2017-2018,29,20,32,38,810,1582,5000000,30000000,7217
1393,2018-2019,35,30,45,59,1031,2549,30000000,24000000,7582
1393,2019-2020,21,38,26,65,1479,2640,24000000,20000000,7947
1393,2020-2021,16,20,12,0,1060,1959,20000000,15000000,8312
1393,2021-2022,10,16,27,41,908,1648,15000000,,8678
