player_id,season_label,pass_completed,tackles_won,interceptions,assists,goals,minutes_played,market_value,market_value_next_season,age_in_days
786,2017-2018,58,2,2,0,0,107,2500000,300000,11224
786,2020-2021,91,3,9,0,0,369,300000,,12319
790,2021-2022,616,21,20,0,0,1378,1800000,,10010
806,2017-2018,478,45,29,0,0,1583,1000000,400000,11880
806,2018-2019,45,0,2,0,0,74,400000,,12245
809,2017-2018,1355,57,62,4,4,2614,30000000,30000000,8721
809,2018-2019,628,33,27,1,1,1245,30000000,22500000,9086
809,2019-2020,935,40,57,1,1,1807,22500000,15000000,9451
809,2020-2021,161,9,8,0,0,440,15000000,15000000,9816
809,2020-2021,329,20,11,0,0,611,15000000,20000000,9816
809,2021-2022,854,44,44,2,1,1882,20000000,,10182
810,2017-2018,301,9,13,0,0,728,800000,800000,12263
810,2017-2018,308,7,4,1,1,536,800000,,12263
829,2020-2021,321,17,27,0,1,1451,500000,400000,11714
829,2021-2022,160,7,7,0,0,386,400000,,12080
831,2021-2022,1051,26,48,0,0,2493,4000000,,10195
838,2017-2018,1394,22,31,6,1,1970,25000000,20000000,11437
838,2018-2019,1714,30,31,6,3,2608,20000000,12000000,11802
838,2019-2020,1247,18,22,7,3,1996,12000000,10000000,12167
838,2020-2021,1979,23,48,3,5,2733,10000000,10000000,12532
838,2021-2022,1500,10,20,8,2,2032,10000000,,12898
842,2017-2018,81,2,4,0,0,228,900000,,9353
845,2017-2018,1420,90,55,3,2,3155,70000000,90000000,8077
845,2018-2019,1232,56,42,1,4,2925,90000000,72000000,8442
845,2019-2020,1391,59,55,0,6,3072,72000000,40000000,8807
845,2020-2021,976,34,19,1,2,2033,40000000,25000000,9172
845,2021-2022,95,2,0,1,0,201,25000000,,9538
867,2017-2018,362,14,14,1,0,1448,1200000,,10568
881,2018-2019,71,3,1,0,0,120,300000,,11604
893,2019-2020,802,27,13,3,3,1596,13500000,13000000,8818
893,2020-2021,860,22,15,3,0,1400,13000000,8000000,9183
893,2021-2022,523,12,6,3,2,1008,8000000,,9549
896,2017-2018,655,32,11,6,4,1838,7500000,15000000,10175
896,2018-2019,870,37,23,4,3,2280,15000000,9500000,10540
896,2019-2020,541,17,10,0,3,1098,9500000,4000000,10905
896,2020-2021,94,1,1,0,1,164,4000000,,11270
898,2017-2018,1271,25,11,3,4,1993,8000000,,9934
