player_id,season_label,goals_against,saves,clean_sheets,penalties_saved,minutes_played,market_value,market_value_next_season,age_in_days
1655,2021-2022,4,10,0,0,270,3000000,,11489
1660,2017-2018,9,17,1,0,540,1500000,,10927
1668,2017-2018,0,0,0,0,360,400000,,8477
1670,2017-2018,6,5,2,0,316,400000,,10997
1689,2017-2018,0,0,0,0,62,1000000,1500000,7448
1689,2018-2019,0,0,0,0,270,1500000,1200000,7813
1689,2019-2020,0,0,0,0,270,1200000,900000,8178
1689,2020-2021,0,0,0,0,71,900000,1000000,8543
1689,2021-2022,0,0,0,0,277,1000000,,8909
1696,2017-2018,2,8,1,0,180,300000,,6640
1700,2017-2018,4,4,0,0,90,100000,800000,7767
1700,2018-2019,2,6,0,0,90,800000,550000,8132
1700,2019-2020,2,8,1,0,180,550000,500000,8497
1700,2020-2021,2,2,0,0,90,500000,,8862
1702,2017-2018,0,0,0,0,90,1000000,600000,7613
1702,2018-2019,16,21,0,0,540,600000,,7978
1703,2017-2018,2,2,0,0,90,300000,1000000,6808
1703,2018-2019,2,1,0,0,90,1000000,2000000,7173
1703,2021-2022,13,24,0,0,645,2000000,,8269
1743,2018-2019,1,0,0,0,90,200000,500000,7536
1743,2021-2022,1,1,0,0,90,500000,,8632
1748,2018-2019,24,56,2,0,1440,2500000,8000000,9740
1748,2019-2020,51,152,5,3,3240,8000000,6000000,10105
1748,2020-2021,44,78,3,0,2610,6000000,2500000,10470
1748,2021-2022,29,51,2,1,1166,2500000,,10836
1769,2018-2019,19,27,0,0,1080,1000000,,9157
1784,2018-2019,0,0,0,0,365,7500000,2500000,6899
1784,2021-2022,2,6,0,1,180,2500000,,7995
1829,2018-2019,30,64,6,0,1800,300000,,12006
1835,2018-2019,13,20,0,0,630,6000000,16000000,7509
1835,2019-2020,29,78,12,0,2991,16000000,20000000,7874
1835,2020-2021,40,70,9,1,3330,20000000,25000000,8239
1835,2021-2022,31,74,12,0,3060,25000000,,8605
1838,2018-2019,2,10,3,0,359,2500000,1600000,7436
1838,2019-2020,0,0,0,0,990,1600000,,7801
1844,2018-2019,44,95,8,1,2970,18000000,14500000,10505
1844,2019-2020,31,68,14,1,2925,14500000,4000000,10870
1844,2020-2021,5,9,2,0,450,4000000,,11235
1880,2019-2020,3,10,1,0,244,475000,,9009
1886,2019-2020,3,10,1,0,270,300000,1000000,8497
1886,2020-2021,8,16,1,0,450,1000000,1000000,8862
1886,2021-2022,6,10,1,0,284,1000000,,9228
1905,2019-2020,0,0,0,0,13,200000,,6882
1913,2019-2020,27,52,7,0,1655,1200000,6000000,9341
1913,2020-2021,40,88,10,3,2958,6000000,8000000,9706
1913,2021-2022,48,92,12,3,3240,8000000,,10072
1934,2019-2020,12,14,1,0,531,2700000,,7482
1947,2019-2020,2,3,0,0,90,300000,,8263
1951,2019-2020,0,0,0,0,180,400000,600000,8205
1951,2020-2021,0,0,0,0,270,600000,600000,8570
1951,2021-2022,0,0,0,0,180,600000,,8936
1953,2019-2020,0,0,0,0,26,250000,,7920
1960,2019-2020,0,0,0,0,2250,12000000,20000000,8684
1960,2020-2021,0,0,0,0,3420,20000000,22000000,9049
1960,2021-2022,0,0,0,0,3150,22000000,,9415
1980,2019-2020,42,97,12,1,3150,4000000,12000000,9094
1980,2020-2021,55,78,8,4,2880,12000000,15000000,9459
1980,2021-2022,21,52,8,0,1964,15000000,,9825
2022,2020-2021,11,26,1,0,720,600000,1500000,8314
2022,2021-2022,46,71,5,0,2160,1500000,,8680
2025,2020-2021,3,3,1,0,180,0,,14827
2038,2020-2021,2,1,0,0,90,300000,,8537
2046,2020-2021,10,6,0,0,360,800000,,9486
2071,2020-2021,45,79,9,1,2880,5000000,6000000,9818
2071,2021-2022,51,117,13,2,3420,6000000,,10184
2093,2020-2021,0,0,0,0,14,6000000,,11123
2139,2020-2021,0,0,0,0,900,2000000,,9577
2142,2021-2022,5,15,1,0,360,5000000,,7311
2175,2021-2022,0,0,1,0,6,300000,,8101
2185,2021-2022,43,91,14,4,3420,1000000,,12292
2194,2021-2022,3,0,0,0,108,400000,,7182
2205,2021-2022,3,3,0,0,90,2000000,,8671
2225,2021-2022,20,56,8,0,1620,10000000,,7399
2235,2021-2022,55,121,7,2,3136,12000000,,8032
2248,2021-2022,0,0,0,0,90,200000,,7246
2255,2021-2022,1,1,0,0,90,100000,,6019
2259,2021-2022,5,10,0,0,180,300000,,7484
